Id,Attrition
1,0.002153
2,0.000618
3,0.000009
4,0.005573
5,0.000009
6,0.000775
7,0.758090
8,0.000500
9,0.000936
10,0.005687
11,0.000011
12,0.005060
13,0.023988
14,0.000056
15,0.000321
16,0.000685
17,0.012457
18,0.018223
19,0.000083
20,0.000000
21,0.000841
22,0.988148
23,0.000208
24,0.000139
25,0.166372
26,0.000001
27,0.000002
28,0.000088
29,0.998447
30,0.010444
31,0.000007
32,0.004016
33,0.022176
34,0.410066
35,0.000021
36,0.002435
37,0.003690
38,0.871448
39,0.002475
40,0.001448
41,0.995136
42,0.000923
43,0.000032
44,0.000035
45,0.000000
46,0.000172
47,0.000024
48,0.002217
49,0.000042
50,0.004634
51,0.897713
52,0.006806
53,0.102967
54,0.560399
55,0.001779
56,0.009037
57,0.000001
58,0.482424
59,0.000000
60,0.012809
61,0.001020
62,0.000001
63,0.014908
64,0.000004
65,0.006027
66,0.002716
67,0.000002
68,0.000802
69,0.001149
70,0.001676
71,0.000149
72,0.000434
73,0.451509
74,0.000177
75,0.020627
76,0.960972
77,0.000502
78,0.000402
79,0.000057
80,0.000166
81,0.002420
82,0.147198
83,0.000056
84,0.000001
85,0.000128
86,0.000103
87,0.000107
88,0.000022
89,0.001814
90,0.033380
91,0.774310
92,0.000869
93,0.002448
94,0.758564
95,0.839096
96,0.002504
97,0.015919
98,0.037000
99,0.000038
100,0.000037
101,0.000075
102,0.000419
103,0.000039
104,0.020238
105,0.005231
106,0.347542
107,0.000013
108,0.788167
109,0.000607
110,0.000077
111,0.000199
112,0.000318
113,0.000051
114,0.000023
115,0.449009
116,0.000007
117,0.000045
118,0.000024
119,0.026066
120,0.000008
121,0.023230
122,0.000005
123,0.000057
124,0.978931
125,0.068922
126,0.000028
127,0.006531
128,0.962445
129,0.049655
130,0.000054
131,0.013973
132,0.000000
133,0.000000
134,0.000513
135,0.000002
136,0.003153
137,0.999985
138,0.000003
139,0.996989
140,0.000000
141,0.005918
142,0.439983
143,0.000117
144,0.000001
145,0.000310
146,0.745053
147,0.269637
148,0.900673
149,0.000508
150,0.750746
151,0.049756
152,0.026362
153,0.430395
154,0.991312
155,0.000000
156,0.000001
157,0.000014
158,0.007951
159,0.000004
160,0.000286
161,0.995857
162,0.000869
163,0.000102
164,0.000002
165,0.000000
166,0.774116
167,0.686076
168,0.332541
169,0.000086
170,0.000000
171,0.000060
172,0.000000
173,0.013264
