Id,Attrition
1,0.1
2,0.03
3,0.02
4,0.22
5,0.02
6,0.2
7,0.82
8,0.09
9,0.15
10,0.07
11,0.03
12,0.12
13,0.05
14,0.01
15,0.07
16,0.05
17,0.38
18,0.11
19,0.09
20,0.0
21,0.01
22,0.72
23,0.16
24,0.02
25,0.25
26,0.01
27,0.02
28,0.03
29,0.87
30,0.07
31,0.05
32,0.16
33,0.42
34,0.49
35,0.0
36,0.07
37,0.08
38,0.2
39,0.07
40,0.11
41,0.95
42,0.14
43,0.08
44,0.02
45,0.08
46,0.08
47,0.05
48,0.17
49,0.01
50,0.22
51,0.6
52,0.09
53,0.24
54,0.37
55,0.2
56,0.13
57,0.1
58,0.51
59,0.03
60,0.06
61,0.1
62,0.03
63,0.32
64,0.0
65,0.19
66,0.1
67,0.06
68,0.1
69,0.03
70,0.11
71,0.2
72,0.02
73,0.08
74,0.17
75,0.33
76,0.4
77,0.04
78,0.09
79,0.03
80,0.41
81,0.08
82,0.21
83,0.33
84,0.0
85,0.25
86,0.11
87,0.16
88,0.12
89,0.08
90,0.15
91,0.34
92,0.03
93,0.29
94,0.07
95,0.67
96,0.57
97,0.44
98,0.08
99,0.2
100,0.02
101,0.16
102,0.06
103,0.07
104,0.16
105,0.23
106,0.12
107,0.02
108,0.09
109,0.05
110,0.12
111,0.16
112,0.12
113,0.18
114,0.06
115,0.19
116,0.06
117,0.02
118,0.14
119,0.15
120,0.29
121,0.5
122,0.26
123,0.02
124,0.42
125,0.49
126,0.03
127,0.02
128,0.22
129,0.24
130,0.13
131,0.08
132,0.02
133,0.2
134,0.23
135,0.21
136,0.15
137,0.98
138,0.01
139,0.36
140,0.05
141,0.2
142,0.12
143,0.04
144,0.08
145,0.04
146,0.29
147,0.09
148,0.45
149,0.08
150,0.62
151,0.37
152,0.18
153,0.08
154,0.58
155,0.07
156,0.04
157,0.08
158,0.04
159,0.06
160,0.06
161,0.55
162,0.13
163,0.06
164,0.04
165,0.14
166,0.57
167,0.3
168,0.14
169,0.01
170,0.05
171,0.06
172,0.08
173,0.1
174,0.21
175,0.02
176,0.13
177,0.2
178,0.08
179,0.35
180,0.8
181,0.44
182,0.1
183,0.63
184,0.23
185,0.82
186,0.27
187,0.05
188,0.16
189,0.3
190,0.1
191,0.06
192,0.09
193,0.05
194,0.71
195,0.63
196,0.24
197,0.09
198,0.38
199,0.18
200,0.11
201,0.6
202,0.35
203,0.34
204,0.07
205,0.17
206,0.06
207,0.57
208,0.13
209,0.07
210,0.32
211,0.61
212,0.13
213,0.08
214,0.08
215,0.41
216,0.8
217,0.43
218,0.08
219,0.07
220,0.02
221,0.07
222,0.09
223,0.07
224,0.25
225,0.25
226,0.01
227,0.07
228,0.05
229,0.03
230,0.13
231,0.8
232,0.11
233,0.06
234,0.37
235,0.0
236,0.25
237,0.11
238,0.08
239,0.63
240,0.03
241,0.08
242,0.06
243,0.49
244,0.59
245,0.12
246,0.02
247,0.55
248,0.02
249,0.05
250,0.12
251,0.04
252,0.02
253,0.05
254,0.11
255,0.01
256,0.55
257,0.02
258,0.27
259,0.37
260,0.48
261,0.0
262,0.04
263,0.2
264,0.37
265,0.55
266,0.53
267,0.04
268,0.04
269,0.34
270,0.06
271,0.04
272,0.19
273,0.84
274,0.32
275,0.5
276,0.2
277,0.28
278,0.4
279,0.07
280,0.06
281,0.5
282,0.33
283,0.18
284,0.24
285,0.13
286,0.85
287,0.23
288,0.19
289,0.06
290,0.26
291,0.19
292,0.06
293,0.17
294,0.15
295,0.09
296,0.46
297,0.01
298,0.09
299,0.46
300,0.23
301,0.04
302,0.02
303,0.12
304,0.79
305,0.18
306,0.08
307,0.35
308,0.11
309,0.11
310,0.14
311,0.08
312,0.17
313,0.15
314,0.12
315,0.12
316,0.07
317,0.7
318,0.3
319,0.02
320,0.5
321,0.1
322,0.1
323,0.04
324,0.08
325,0.29
326,0.13
327,0.84
328,0.23
329,0.32
330,0.43
331,0.04
332,0.34
333,0.01
334,0.12
335,0.22
336,0.18
337,0.17
338,0.27
339,0.08
340,0.62
341,0.08
342,0.86
343,0.05
344,0.41
345,0.21
346,0.08
347,0.04
348,0.09
349,0.03
350,0.14
351,0.04
352,0.03
353,0.13
354,0.18
355,0.0
356,0.63
357,0.16
358,0.11
359,0.12
360,0.81
361,0.01
362,0.03
363,0.08
364,0.2
365,0.54
366,0.11
367,0.25
368,0.1
369,0.04
370,0.72
371,0.06
372,0.09
373,0.1
374,0.79
375,0.37
376,0.08
377,0.28
378,0.26
379,0.36
380,0.02
381,0.58
382,0.06
383,0.21
384,0.05
385,0.33
386,0.54
387,0.64
388,0.48
389,0.25
390,0.42
391,0.05
392,0.0
393,0.44
394,0.02
395,0.05
396,0.07
397,0.56
398,0.05
399,0.09
400,0.11
401,0.23
402,0.02
403,0.07
404,0.28
405,0.28
406,0.04
407,0.12
408,0.32
409,0.23
410,0.09
411,0.05
412,0.06
413,0.1
414,0.05
415,0.07
416,0.0
417,0.88
