Id,Attrition
1,0.40
2,0.30
3,0.30
4,0.40
5,0.60
6,0.30
7,0.70
8,0.70
9,0.70
10,0.50
11,0.60
12,0.60
13,0.40
14,0.60
15,0.60
16,0.50
17,0.60
18,0.40
19,0.50
20,0.60
21,0.40
22,0.50
23,0.50
24,0.30
25,0.60
26,0.40
27,0.40
28,0.60
29,0.60
30,0.30
31,0.70
32,0.40
33,0.60
34,0.30
35,0.30
36,0.60
37,0.20
38,0.30
39,0.60
40,0.40
41,0.60
42,0.50
43,0.30
44,0.50
45,0.50
46,0.70
47,0.50
48,0.40
49,0.50
50,0.60
51,0.30
52,0.40
53,0.40
54,0.80
55,0.50
56,0.50
57,0.60
58,0.50
59,0.40
60,0.40
61,0.30
62,0.50
63,0.70
64,0.80
65,0.60
66,0.50
67,0.60
68,0.60
69,0.60
70,0.50
71,0.50
72,0.50
73,0.10
74,0.60
75,0.30
76,0.70
77,0.40
78,0.40
79,0.60
80,0.80
81,0.40
82,0.10
83,0.40
84,0.60
85,0.70
86,0.30
87,0.30
88,0.50
89,0.50
90,0.80
91,0.50
92,0.50
93,0.70
94,0.70
95,0.50
96,0.50
97,0.50
98,0.70
99,0.50
100,0.30
101,0.70
102,0.40
103,0.60
104,0.40
105,0.50
106,0.60
107,0.50
108,0.40
109,0.50
110,0.60
111,0.30
112,0.60
113,0.40
114,0.30
115,0.60
116,0.60
117,0.40
118,0.50
119,0.30
120,0.50
121,0.70
122,0.60
123,0.30
124,0.20
125,0.30
126,0.40
127,0.60
128,0.70
129,0.60
130,0.50
131,0.50
132,0.60
133,0.40
134,0.20
135,0.50
136,0.50
137,0.70
138,0.40
139,0.40
140,0.40
141,0.40
142,0.30
143,0.50
144,0.70
145,0.50
146,0.70
147,0.30
148,0.50
149,0.30
150,0.40
151,0.20
152,0.20
153,0.70
154,0.80
155,0.50
156,0.60
157,0.30
158,0.30
159,0.60
160,0.50
161,0.60
162,0.50
163,0.20
164,0.50
165,0.20
166,0.10
167,0.40
168,0.30
169,0.60
170,0.70
171,0.50
172,0.30
173,0.30
174,0.50
175,0.70
176,0.30
177,0.50
178,0.60
179,0.60
180,0.70
181,0.50
182,0.60
183,0.40
184,0.30
185,0.60
186,0.70
187,0.40
188,0.40
189,0.20
190,0.50
191,0.50
192,0.60
193,0.40
194,0.50
195,0.60
196,0.50
197,0.50
198,0.50
199,0.50
200,0.50
201,0.40
202,0.40
203,0.60
204,0.30
205,0.40
206,0.50
207,0.50
208,0.70
209,0.30
210,0.40
211,0.40
212,0.70
213,0.70
214,0.50
215,0.60
216,0.60
217,0.60
218,0.20
219,0.70
220,0.30
221,0.60
222,0.70
223,0.50
224,0.70
225,0.30
226,0.60
227,0.30
228,0.40
229,0.50
230,0.60
231,0.50
232,0.30
233,0.60
234,0.70
235,0.70
236,0.60
237,0.50
238,0.70
239,0.50
240,0.30
241,0.60
242,0.50
243,0.60
244,0.30
245,0.40
246,0.50
247,0.50
248,0.30
249,0.40
250,0.40
251,0.70
252,0.50
253,0.60
254,0.50
255,0.70
256,0.30
257,0.30
258,0.40
259,0.60
260,0.60
261,0.50
262,0.40
263,0.60
264,0.40
265,0.50
266,0.40
267,0.30
268,0.40
269,0.60
270,0.60
271,0.40
272,0.50
273,0.40
274,0.60
275,0.50
276,0.40
277,0.40
278,0.60
279,0.50
280,0.40
281,0.60
282,0.50
283,0.60
284,0.50
285,0.60
286,0.50
287,0.70
288,0.60
289,0.30
290,0.60
291,0.60
292,0.40
293,0.30
294,0.50
295,0.30
296,0.60
297,0.60
298,0.70
299,0.60
300,0.40
301,0.40
302,0.60
303,0.60
304,0.70
305,0.40
306,0.80
307,0.30
308,0.40
309,0.70
310,0.70
311,0.30
312,0.20
